aesthetic,related
Cassette Futurism,"['Atompunk', 'Cyberpunk', 'Dieselpunk', 'Hexatron', 'Laser Grid', 'Raygun Gothic', 'Retro-Futurism', 'Synthwave', 'Vaporwave', 'Vectorcore']"
Catholic Horror,"['Cultcore', 'Devilcore', 'Gorecore', 'Gothic', 'Horror', 'Medieval', 'Morute', 'Sacricore', 'Southern Gothic', 'Vampire', 'Welwitschia Goth']"
Cayetana,"['Boujee', 'Chic Modernist', 'Milipili', 'Old Money', 'Pijo']"
Changelingcore,"['Cryptid Academia', 'Cryptidcore', 'Ethereal', 'Fairycore', 'Goblincore', 'Liminal Space', 'Mossy', 'Naturecore']"
Chaotic Academia,"['Dark Academia', 'Light Academia']"
Chav,"['Ah Beng', 'Baddie', 'Bombardier', 'Cagole', 'Cani', 'Choni', 'Cocalar', 'Dizela%C5%A1i', 'Dresiarz', 'Eshay', 'Gopnik', 'Jersey Shore', 'McBling', 'Scrapper', 'Racaille', 'Raxet']"
Cheiron Crush,"['Art Hoe', 'Cybercore', 'Frutiger Aero', 'McBling', 'MTV Green Sky', 'MTV 2 Overcast', 'Shiny Suit 97', 'Surf Crush', 'TGIF Crush', 'The Box 96', 'Total Afternoon Live', 'Ultraviolet Crush', 'VSCO', '2K1', '2K7']"
Cherry Emoji Twitter,"['Baddie', 'Bimbocore', 'Bubblegum Bitch', 'Femme Fatale', 'Lovecore', 'McBling', 'Nymphet', 'Rockabilly', 'Tomato Girl Summer']"
Chicano Lowrider,"['Gangsta Rap', 'Urbancore', 'UrBling']"
Chicha,"['Acidwave', 'Baroque', 'Cholo', 'Dollar Store Vernacular', 'Hippie', 'Kitschy', 'Lolailo', 'Pop Art', 'Psychedelica', 'Tropical']"
Chic Modernist,"['Beatnik', 'Boujee', 'Cayetana', 'Corporate', 'Dark Academia', 'Indie', 'Light Academia', 'Minimalism', 'Modernism', 'Pijo', 'Pink Parisian', 'Preppy', 'Romantic Italian']"
Chinese New Year,[]
Choco Girl,"['Kawaii', 'Lolita']"
Cholo,"['Baddie', 'Chicha', 'Chonga', 'Gangsta Rap', 'Hip-Hop']"
Chonga,"['Cholo', 'Choni', 'Hip-Hop', 'Reggaetonero']"
Choni,"['Ah Beng', 'Baddie', 'Bombardier', 'Cagole', 'Cani', 'Chav', 'Dizela%C5%A1i', 'Dresiarz', 'Gopnik', 'Gyaru', 'McBling', 'Motomami', 'Racaille', 'Raxet', 'Reggaetonero']"
Christian Girl Autumn,"['Autumn', 'Cinnamon Girl', 'VSCO', 'New Spanish Catholic Girl', 'Tomato Girl Summer', 'Basic Girl']"
Christian Hardcore,"['Alternative', 'Goth', 'Grunge', 'Indie', 'Metal', 'Metalcore']"
Christmas,['Winter']
Chromecore,"['Brutal Industrial', 'Cybercore', 'Frutiger Aero', 'Metalheart', 'Mizuiro', 'Neo-Tribal', 'Retro-Futurism', 'Shiny Suit 97', 'Technozen', 'Total Afternoon Live', 'Trillwave', '2K1', '2K7']"
Chunyu,"['Asian Baby Girl', 'Coquette']"
Cinnamon Girl,"['Vanilla Girl', 'Coquette', 'The WB Crush', 'Stargirl', '2K5', 'Downtown Girl']"
City Pop,"['After Hours', 'Animecore', 'Bodikon', 'Cybercore', 'Cyberpunk', 'Future Funk', 'Lo-Fi', 'Memphis Design', 'Modernism', 'New Romantic', 'New Wave', 'Shibuya Punk', 'Synthwave', 'Vaporwave', 'Visual Pollution', 'Y%C3%A9-y%C3%A9 Girl']"
Classic Academia,"['Classicism', 'Dark Academia', 'Light Academia', 'Studyblr', 'Studyplace']"
Classicism,"['Ancient Egypt', 'Art Academia', 'Baroque', 'Classic Academia', 'Dionysism', 'Hellenic', 'Hermaphroditus', 'Historical Americana', 'Neoclassicism', 'Noucentisme', 'Pre-Raphaelite', 'Regency', 'Romantic Italian']"
Classic Lolita,"['Lolita', 'Mori Kei', 'Prairie', 'Victorian']"
Cleancore,['Minimalism']
Clean Girl,"['Minimalism', 'That Girl']"
Clockpunk,"['Cyberpunk', 'Steampunk']"
Clowncore,"['Juggalo', 'Kidcore', 'LOLcore', 'Rainbowcore', 'Scene', 'Decora', 'Fanfare']"
Club,"['Acidwave', 'Belgian New Beat', 'Boujee', 'Bubblegum Dance', 'Cartelcore', 'Casino', 'Club Kids', 'Disco', 'Drugcore', 'Glam Rock', 'Glowwave', 'Goth', 'Hands Up', 'Hip-Hop', 'New Romantic', 'New Wave', 'Post-Punk', 'Punk', 'Raver', 'Stripcore', 'Tropical Disco', 'Urbancore']"
Club Kids,"['Ballroom culture', 'Blingeecore', 'LOLcore']"
Cluttercore,"['Maximalism', 'Goblincore']"
Coastal Cowgirl,"['Coastal Grandmother', 'Western', 'Minimalism', 'Tomato Girl Summer']"
Coastal Grandmother,"['Nautical', 'Grandmillenial', 'Grandparentcore', 'Surf Crush']"
Cobsoncore,"['Edgy Meme', 'Incel']"
Cocalar,"['Bombardier', 'Cagole', 'Cani', 'Chav', 'Gopnik', 'Hipster', 'Jersey Shore']"
Coconut Girl,"['Americana', 'Barbiecore', 'Bratzcore', 'Beach Girl', 'Bubblegum Coquette', 'Gyaru', 'McBling', 'Nymphet', 'Surf Crush', 'Tropical', 'Tweencore', 'Vacation Dadcore']"
Coffee House/Cafe,"['After Hours', 'Comfy/Cozy', 'Dark Academia', 'Foodie', 'Light Academia', 'Lo-Fi', 'Milk', 'Indie', 'Global Village Coffeehouse']"
Coffinwood,"['Americana', 'Animecore', 'Cryptidcore', 'Dark Naturalism', 'Greaser', 'Halloween', 'Hauntology', 'Horror', 'Liminal Space', 'Midwest Gothic', 'Nostalgiacore', 'Post-Apocalyptic', 'Rock', 'Southern Gothic', 'Traumacore', 'Western', 'Zombie Apocalypse']"
Comfy/Cozy,"['Autumn', 'Coffee House/Cafe', 'Cabincore', 'Dazecore', 'Dreamy', 'Light Academia', 'Peoplehood', 'Softie', 'VSCO']"
Communist Chic,"['Nazi Chic', 'Punk', 'Soviet Nostalgia', 'Winter Fairy Coquette']"
Color Pop,[]
Constructivism,"['Aeropittura', 'Art Academia', 'Avant-garde', 'Bauhaus', 'De Stijl', 'Purism', 'Modernism', 'Socialist Realism', 'Sovietwave', 'Suprematism', 'Zenitism']"
Corporate,"['Abstract Tech', 'Boujee', 'Bright Tertiaries', 'Chic Modernist', 'Corporate Hippie', 'Corporate Memphis', 'Corporate Punk', 'Cyberprep', 'Dark Aero', 'DORFic', 'Flat Design', 'Four Colors', 'Frutiger Aero', 'Frutiger Eco', 'Helvetica Aqua Aero', 'Mallsoft', 'Metrosexual', 'Renewable Corporate Futurism', 'Studyblr', 'Studyplace', 'Technozen', 'Trillwave', 'Vaporwave']"
Corporate Grunge,"['Cyberpunk', 'Grunge', 'Teenpunk', 'UrBling']"
Corporate Memphis,"['Corporate', 'Flat Design', 'Frutiger Metro', 'Grime Art', 'Memphis Design', 'Minimalism', 'Neubrutalism']"
Corporate Punk,"['Punk', 'Teenpunk']"
Cottagecore,"['Artcore', 'Bloomcore', 'Cabincore', 'Cottagegore', 'Country', 'Crowcore', 'Earthcore', 'Ethereal', 'Fairy Academia', 'Fairycore', 'Forestpunk', 'French Provincial Style', 'Grandparentcore', 'Hellenic', 'Hippie', 'Honeycore', 'Mori Kei', 'Naturecore', 'New Spanish Catholic Girl', 'Plant Mom', 'Pont-Aven School', 'Prairie', 'Princesscore', 'Ravencore', 'Rococo', 'Romanticism', 'Shabby Chic', 'Strega', 'Tuscan Rustic', 'Villagecore', 'Warmcore', 'Witchcore']"
Cottagegore,"['Coffinwood', 'Cottagecore', 'Crowcore', 'Cult Party Kei', 'Dark Academia', 'Dark Fantasy', 'Fairy Grunge', 'Forestpunk', 'Mossy', 'Southern Gothic', 'Strega', 'Vulture Culture', 'Witchcore']"
Coquette,[]
Coquette Academia,"['Balletcore', 'Ballet Academia', 'Bookstore Girl', 'Coquette', 'Light Academia', 'Lolita', 'Nymphet', 'Romantic Academia']"
Corporate Hippie,"['Acid Pixie', 'Acidwave', 'Beatnik', 'Cartooncore', 'Corporate', 'Cyberdelic', 'Drugcore', 'Hippie', 'Lovecore', 'Psychedelica', 'Rainbowcore', 'Stoner']"
Country,"['Americana', 'Cottagecore', 'Equestrian', 'French Provincial Style', 'Girl-Next-Door', 'Southern Gothic', 'Western']"
Cozy Childhood Hideaway,"['Campcore', 'Comfy/Cozy', 'Kidcore', 'Traumacore']"
C-Pop,"['Hallyu', 'Hip-Hop', 'R%26B', 'City Pop']"
Crackhead,"['Bastardcore', 'Chaotic Academia', 'Chav', 'Drugcore', 'Feralcore', 'Goblincore', 'Grunge', 'Raver', 'Surreal Memer', 'Trashcore', 'Weirdcore']"
Craftcore,"['Art Hoe', 'Cottagecore', 'Grandparentcore', 'Indiecraft', 'Scrapbook']"
Cripplepunk,[]
Crowcore,"['Cottagecore', 'Cryptidcore', 'Dragoncore', 'Goblincore', 'Miniature', 'Mossy', 'Naturecore', 'Pirate', 'Pixiecore', 'Vulture Culture']"
Crustpunk,"['Punk', 'Grunge']"
Cryptid Academia,"['Adventurecore', 'Cabincore', 'Cryptidcore', 'Dark Academia', 'Goblincore', 'Light Academia', 'Witchcore']"
Cryptidcore,"['Alien', 'After Hours', 'Liminal Space', 'Witchcore', 'Goblincore', 'Dragoncore', 'Adventurecore', 'Cabincore', 'Gloomcore', 'Cryptid Academia', 'Ghostcore', 'Midwest Gothic', 'Suburban Gothic', 'Deathrock', 'Goth', 'Trad Goth', 'Analog Horror']"
Cubism,"['Art Deco', 'Avant-garde', 'Modernism', 'Neo-Breton Style', 'Neo-Pop', 'Precisionism', 'Suprematism', 'New Figuration']"
Cuddle Party,"['Arcadecore', 'Comfy/Cozy', 'Fanfare', 'Glowwave', 'Golden Hour', 'Happycore', 'High School Dream', 'Kidcore', 'Lo-Fi', 'Party Animal', 'Skater']"
Cultcore,"['Sacricore', 'Catholic Horror', 'Traumacore', 'Weirdcore', 'Angelcore', 'Devilcore', 'Naturecore', 'Larpercore', 'Liminal Space', 'Witchcore']"
Cult Party Kei,"['Balletcore', 'Delicate Sweet', 'Dolly Kei', 'Fairy Kei', 'Mori Kei', 'Morute', 'Shabby Chic', 'Traumacore', 'Yume Kawaii']"
Cutecore,"['Animecore', 'Bubblegum Dance', 'Gurokawa', 'Kawaii', 'Traumacore', 'Sanriocore', 'Yami Kawaii', 'Yandere', 'Yume Kawaii']"
Cybercore,"['Abstract Tech', 'Acid Design', 'Anime New Moon', 'Arcadecore', 'Avant Apocalypse', 'Breakcore', 'Bubblegum Dance', 'Captchacore', 'Cheiron Crush', 'Chromecore', 'City Pop', 'Cyberdelic', 'Cyberghetto', 'Cyberpop', 'Cyberprep', 'Cyberpunk', 'Cybervillain', 'DORFic', 'Drain', 'Flat Design', 'Frutiger Aero', 'Frutiger Aurora', 'Frutiger Eco', 'Hyperpop', 'Gen X Soft Club', 'Hands Up', 'Heisei Retro', 'Helvetica Aqua Aero', 'Hexatron', 'Holosexual', 'Icepunk', 'Lo-Fi', 'Low Poly', 'Memphis Design', 'Metalheart', 'Mizuiro', 'Motomami', 'Neo-Tribal', 'Neubrutalism', 'Nintencore', 'Raver', 'Retro-Futurism', 'Robotcore', 'Seapunk', 'Sega Uranus', 'Shibuya Punk', 'Shiny Suit 97', 'Silicon Dreams', 'Skeuomorphism', 'Slimepunk', 'Superflat Pop', 'Synthwave', 'Technoneko2000', 'Trillwave', 'UrBling', 'Vaporwave', 'Vectorheart', 'Wixa', 'Xpiritualism', 'Y2K', '2K7']"
Cyberdelic,"['Acidwave', 'Arcadecore', 'Cyberpunk', 'Cybercore', 'Cyberprep', 'Cybergoth', 'Cyberneticpunk', 'Factory Pomo', 'Gamercore', 'Glowwave', 'Hippie', 'Imaginarium', 'Kidcore', 'Low Poly', 'Metalheart', 'Nintencore', 'Nostalgiacore', 'Psychedelica', 'Rainbowcore', 'Raver', 'Seapunk', 'Sega Uranus', 'Sextrance', 'Silicon Dreams', 'Vaporwave', 'Webcore', 'Y2K']"
Cyberghetto,"['Baddie', 'Bastardcore', 'Cybercore', 'Cyberdelic', 'Cybergoth', 'Cyberpunk', 'Drugcore', 'E-Boy', 'E-Girl', 'Hip-Hop', 'Holosexual', 'Hyperpop', 'Kawaii', 'Raver', 'Scene', 'Seapunk', 'Vaporwave']"
Cyber Grunge,"['Cybercore', 'Cyberpunk', 'Bleak Crush', 'Dazecore', 'Fairy Grunge', 'Goblincore', 'Goth', 'Grunge', 'Mallgoth', 'Nu-Metal', 'Twilightcore', 'Visual Kei']"
Cybergoth,"['Bakala', 'Cyberpop', 'Cyberpunk', 'Cybervillain', 'Goth', 'Mallgoth', 'Post-Apocalyptic', 'Raver', 'Techwear', 'Tecktonik', 'Wixa']"
Cyberminimalism,"['Flat Design', 'Frutiger Aurora', 'Minimalism']"
Cyberneticpunk,"['Animecore', 'Cyberdelic', 'Cyberpunk', 'Femcel Weeaboo', 'Web Creep', 'Void-Meme', 'Larpercore', 'Geek', 'Otaku', 'PSY-OP Girl']"
Cyberparadism,"['Biopunk', 'Cybercore', 'Cyberprep', 'Flat Design', 'Frutiger Eco', 'Health Goth', 'Junglecore', 'Minimalism', 'New Age', 'Paleocore', 'Renewable Corporate Futurism', 'Solarpunk']"
Cyberpop,"['Bubblegum Dance', 'Club Kids', 'Cybercore', 'Cybergoth', 'Cyberprep', 'Cyberpunk', 'Decora', 'Dokukawaii', 'Glowwave', 'Harajuku Fashion', 'Holosexual', 'Raver', 'Raygun Gothic', 'Retro-Futurism', 'Shibuya Punk', 'Superflat Pop']"
Cyberprep,"['Abstract Tech', 'Artificial Nature', 'Biopunk', 'Corporate', 'Cybercore', 'Cyberpop', 'Cyberpunk', 'Flat Design', 'Frutiger Aero', 'Frutiger Aurora', 'Frutiger Eco', 'Frutiger Metro', 'Glowwave', 'Helvetica Aqua Aero', 'Hexatron', 'Nanopunk', 'New Wave', 'Preppy', 'Solarpunk', 'Synthwave']"
Cyberpunk,"['Abstract Tech', 'Acid Design', 'Afrofuturism', 'Animecore', 'Atompunk', 'Biopunk', 'Bronzepunk', 'Cassette Futurism', 'Clockpunk', 'Cybercore', 'Cyberdelic', 'Cyberghetto', 'Cybergoth', 'Cyberparadism', 'Cyberpop', 'Cyberprep', 'Cyberspace Webrooms', 'Cybervillain', 'Decopunk', 'Dieselpunk', 'Flat Design', 'Glowwave', 'Hacker', 'Hexatron', 'Itasha', 'Lunarpunk', 'Cyber Grunge', 'Motomami', 'Mythpunk', 'Nanopunk', 'Neo-Tokyo', 'Neo-Tribal', 'Neon Noir', 'New Romantic', 'New Wave', 'Post-Apocalyptic', 'Punk', 'Raver', 'Raygun Gothic', 'Retro-Futurism', 'Solarpunk', 'Steampunk', 'Steelpunk', 'Stonepunk', 'Synthwave', 'Technocore', 'Techwear', 'Terrorwave', 'Tupinipunk', 'Vaporwave', 'Vectorheart', 'Visual Pollution', 'Webcore']"
Cyberspace Webrooms,"['Pixelboard', 'Nostalgiacore', 'Kidcore', 'McBling', 'Cyberparadism', 'Cyber Stylin%27', 'Wimmelbilderbuch']"
Cyber Stylin%27,"['Barbiecore', 'Blingeecore', 'Cybercore', 'Tweencore', 'McBling', 'Bubblegum Bitch', 'Gyaru', 'Frutiger Metro', 'Teenqueen', 'Nostalgiacore', 'Pixel Cutie', 'Cyberspace Webrooms', 'Girly Girl']"
Cybervillain,"['Atompunk', 'Cybercore', 'Cybergoth', 'Cyberpunk', 'Dark Aero', 'Devilcore', 'Hacker', 'Hexatron', 'Metalheart', 'Raygun Gothic', 'Retro-Futurism', 'Spacecore', 'Villaincore']"
Dandy,"['Aestheticism', 'Aristocrat', 'Boystyle', 'Dark Gatsby', 'Hipster', 'La Sape', 'Metrosexual', 'Pijo', 'Preppy', 'Regency', 'Romanticism', 'Swenkas', 'Victorian']"
Danish Pastel,"['Cottagecore', 'Plant Mom', 'VSCO']"
Dank Meme Voyage,[]
Dark Academia,"['Alternative', 'Androgynous', 'Art Academia', 'Autumn', 'Beatnik', 'Chaotic Academia', 'Classic Academia', 'Cryptid Academia', 'Darkest Academia', 'Dark Paradise', 'Fairy Academia', 'Gothic', 'Indie', 'Light Academia', 'Mod', 'Musical Academia', 'New Spanish Catholic Girl', 'Old Money', 'Pastel Academia', 'Post-Punk', 'Preppy', 'Romantic Academia', 'Studyblr', 'Studyplace', 'Theatre Academia', 'Victorian', 'Writer Academia']"
Dark Aero,"['Abstract Tech', 'Bright Tertiaries', 'Corporate', 'Cybervillain', 'DORFic', 'ElectroPop 08', 'Flat Design', 'Frutiger Aero', 'Frutiger Aurora', 'Frutiger Metro', 'Glassmorphism', 'Hexatron', 'Holo', 'Metalheart', 'Neumorphism', 'Skeuomorphism', 'Y2K', '2K7']"
Darkcore,"['After Hours', 'Liminal Space', 'Traumacore', 'Dark Academia']"
DarkErrorcore,"['Gesugao', 'Gorecore', 'Gothcore', 'Mind Murder']"
Darkest Academia,"['Dark Academia', 'Dark Paradise', 'Goth', 'Gothic', 'Studyblr', 'Studyplace', 'Victorian', 'Post-Punk']"
Dark Fantasy,"['Fantasy', 'Fairy Tale', 'Dark Academia', 'Darkest Academia', 'Goth', 'Romantic Goth', 'Dragoncore', 'Witchcore', 'Pirate', 'Vampire', 'Selkiecore', 'Strega', 'Mythpunk']"
Dark Gatsby,"['Dandy', 'Flapper', 'Roaring 20s']"
Dark Naturalism,"['Dark Academia', 'Dark Paradise', 'Ethereal', 'Gloomcore', 'Naturecore', 'Cabincore', 'Coffinwood']"
Dark Nautical,"['Cottagecore', 'Forestpunk', 'Nautical', 'Ocean Grunge', 'Pirate', 'Selkiecore', 'Witchcore', 'Reefwave']"
Dark Nymphet,"['Nymphet', 'Waif', 'Gothic Lolita', 'Kinderwhore', 'Coquette', 'Dollette', 'Dethereal', 'Morute', 'Femme Fatale']"
Dark Paradise,"['After Hours', 'Dark Academia', 'Darkest Academia', 'Dark Naturalism', 'Gloomcore', 'Indie', 'Liminal Space', 'Lo-Fi', 'Rainy Day', 'Wanderlust', 'Northerness', 'Coffinwood']"
Dark Royaltycore,"['Alternative', 'Androgynous', 'Coquette', 'Punk', 'Royalcore', 'Beatnik', 'Dark Academia', 'Chaotic Academia', 'Darkest Academia', 'Dark Paradise', 'Lobotomy Chic', 'Old Money', 'Post-Punk', 'Theatre Academia', 'Traumacore', 'Victorian', 'Writer Academia']"
Dark Y2K,"['Dark Nymphet', 'Drugcore', 'Emo', 'Goth', 'Grunge', 'Krushclub', 'MTV Green Sky', 'Neo-Tribal', 'Stripcore', 'Twilightcore', '2K1', '2K7']"
Dau al Set,"['Avant-garde', 'New Figuration', 'Surrealism']"
Daydreampunk,"['Alien', 'Auroracore', 'Basic Girl', 'Corporate Punk', 'Holosexual', 'Pastel Punk', 'Spacecore', 'Unicorncore']"
Dazecore,"['After Hours', 'Comfy/Cozy', 'Cuddle Party', 'Dreamy', 'Dullcore', 'Geek', 'Lo-Fi', 'Minimalism', 'Mizuiro', 'Ocean Grunge', 'Spacecore', 'Urbancore']"
Dead Inside,"['Animecore', 'Drain', 'E-Boy', 'Emo', 'Goth', 'Hyperpop', 'Sadpeople']"
Deathcore,"['Emo', 'Metal', 'Neo-Tribal', 'Scene', 'Punk', 'Metalcore', 'Death Metal']"
Death Metal,"['Metal', 'Black Metal', 'Thrasher', 'Gorecore', 'Horror']"
Deathrock,"['B-Movie Horror', 'Cryptidcore', 'Glam Rock', 'Goth', 'Las Movidas', 'New Romantic', 'Punk', 'Strega', 'Suburban Gothic', 'Trad Goth']"
Decopunk,"['Art Deco', 'Atompunk', 'Dieselpunk', 'Steampunk']"
Decora,"['Cyberpop', 'Dopamine', 'Fairy Kei', 'Gurokawa', 'Harajuku Fashion', 'Kawaii', 'Kidcore', 'Oshare Kei', 'Pop Kei', 'Poppare']"
Deep Fried Meme,"['Arabfunny', 'Dank Meme Voyage', 'Deep TikTok', 'Edgy Meme', 'Funwaacore', 'Old Meme', 'Surreal Memer', 'Wholesome Meme']"
Deep TikTok,"['Analog Horror', 'Arabfunny', 'Deep Fried Meme', 'ElsaGate', 'Flop TikTok', 'Horror', 'Surrealism', 'Void-Meme', 'Weirdcore', 'Xpiritualism']"
Delicate Sweet,"['Angelcore', 'Cult Party Kei', 'Yume Kawaii', 'Babycore', 'Grandparentcore', 'Larme Kei', 'Rococo', 'Softie', 'Classic Lolita', 'Mori Kei', 'Ethereal', 'Romantic Academia', 'Vanilla Girl', 'Morute', 'Coquette']"
Denpa,"['Artcore', 'Breakcore', 'Raver', 'Abstract Tech', 'Animecore', 'Dokukawaii', 'Digital Oddity', 'Femcel Weeaboo', 'Kawaii', 'Moe', 'Otaku', 'OtoMAD', 'Sextrance', 'Xpiritualism', 'Yami Kawaii', 'Yume Kawaii']"
Desertwave,"['Adventurecore', 'Americana', 'Ancient Egypt', 'Cryptid Academia', 'Heatwave', 'Prairie', 'Synthwave', 'Western']"
Desi Romantic Academia,[]
De Stijl,"['Aeropittura', 'Art Academia', 'Bauhaus', 'Constructivism']"
Dethereal,"['Ethereal', 'Gothic Lolita', 'Dark Naturalism', 'Dark Nymphet', 'Dark Paradise', 'Strega', 'Victorian Goth']"
Devilcore,"['Angelcore', 'Casino', 'Catholic Horror', 'Gorecore', 'Hatecore', 'Gesugao', 'Goth', 'Gothcore', 'Sacricore', 'Neo-Tribal', 'Sigilkore', 'Black Metal']"
D%C3%ADa De Los Muertos,['Halloween']
Dieselpunk,"['Aeropittura', 'Art Deco', 'Atompunk', 'Bauhaus', 'Constructivism', 'Cubism', 'Cyberpunk', 'Decopunk', 'De Stijl', 'Electro Swing', 'Film Noir', 'Flat Design', 'Modernism', 'Pop Art', 'Post-Apocalyptic', 'Punk', 'Raygun Gothic', 'Retro-Futurism', 'Roaring 20s', 'Steampunk', 'Steelpunk', 'Surrealism']"
Digital Horror,"['Analog Horror', 'Nostalgiacore', 'Weirdcore', 'Technocore', 'Horror', 'EXEcore', 'MS Paint', '2010s Internet', 'Mind Murder', 'Welwitschia Goth', 'Xpiritualism']"
Digital Oddity,"['Emo', 'MS Paint', 'Nostalgiacore', 'Randumb', 'Scene']"
Diner,"['Americana', 'Foodie', 'Glowwave', 'Vintage Americana', 'Vaporwave']"
Dionysism,"['Classicism', 'Club', 'Cuddle Party', 'Devilcore', 'Hellenic', 'Hermaphroditus', 'Lovecore', 'McBling', 'Party Animal']"
Disco,"['Disco Polo', 'Glam Rock', 'Hands Up', 'Hi-NRG', 'Italo Disco', 'Psychedelica', 'Rollerwave', 'Synthwave', 'Tecktonik', 'Tropical Disco', 'Vaporwave']"
Disco Polo,"['Bubblegum Dance', 'Disco', 'Dresiarz', 'Frutiger Metro', 'Gra%C5%BCynacore', 'Italo Disco', 'Vectorflourish', 'Y2K']"
Dizela%C5%A1i,"['Ah Beng', 'Bombardier', 'Bosozoku', 'Cani', 'Chav', 'Choni', 'Dresiarz', 'Gabber', 'Gopnik', 'Hip-Hop', 'Racaille']"
Dokukawaii,"['Acidwave', 'Animecore', 'Cyberpop', 'Ero-Guro', 'Glowwave', 'Gurokawa', 'Kimoicore', 'Medicalcore', 'Pastel Gore', 'Rainbowcore', 'Yami Kawaii']"
Dollar Store Vernacular,"['Captchacore', 'Chicha', 'Four Colors', 'Funwaacore', 'Gangst%C3%A6xtemism', 'Gra%C5%BCynacore', 'Internet Awesomesauce', 'Shanzhai', 'Skeuomorphism', 'Vaporwave', 'Visual Pollution', 'Xpiritualism']"
Dollcore,"['Balletcore', 'Coquette', 'Dollette', 'Dolly Girl', 'Kawaii', 'Kitschy', 'Larme Kei', 'Lolita', 'Morute']"
Dollette,"['Balletcore', 'Coconut Girl', 'Coquette', 'Dollcore', 'Nymphet', 'Dark Nymphet', 'Girly Girl', 'Ethereal', 'Princesscore', 'Fairycore', 'McBling', 'Bubblegum Coquette', 'Barbiecore', 'Bimbocore', 'Angelcore', 'Preppy', 'Romantic Academia', 'Cottagecore', 'Delicate Sweet', 'Softie']"
Dolly Girl,"['Babygirl', 'Bubblegum Coquette', 'Coquette', 'Dollcore', 'Mod', 'Rockabilly', 'Twee', 'Y%C3%A9-y%C3%A9 Girl']"
Dolly Kei,"['Cult Party Kei', 'Medieval', 'Mori Kei', 'Cottagecore']"
Doodlecore,"['Kidcore', 'Weirdcore', 'Sanriocore', 'Softie', 'MS Paint']"
Doomer,"['After Hours', 'Alternative', 'Fe%C3%ADsmo', 'Femcel Weeaboo', 'Incel', 'Indie', 'Midwest Emo', 'Larpercore', 'Lo-Fi', 'Post-Apocalyptic', 'Post-Punk', 'Sadpeople', 'Shoegaze', 'Soviet Brutalism', 'Sovietwave', 'Stoner', 'Synthwave', 'Urbancore', 'Vaporwave']"
Dopamine,"['Decora', 'Gen Z Maximalism', 'Happycore', 'Indie Kid', 'Kidcore', 'Memphis Design', 'Vaporwave']"
DORFic,"['Abstract Tech', 'Bright Tertiaries', 'Corporate', 'Cybercore', 'Cyberpunk', 'Dark Aero', 'Frutiger Aero', 'Frutiger Eco', 'Frutiger Metro', 'Hexatron', 'Imaginarium', 'Minimalism', 'Renewable Corporate Futurism', 'Skeuomorphism', 'Solarpunk', 'Technozen', 'UrBling', 'Vectorflourish']"
Downtown Girl,"['Autumn', 'Coquette', 'Dark Academia', 'Dollette', 'Pale Grunge', 'Peoplehood', 'That Girl', 'Twilightcore', 'Uptown Girl', 'Waif']"
Dracopunk,"['Dragoncore', 'Cottagegore', 'Cottagecore', 'Goblincore']"
Dragoncore,"['Crowcore', 'Fantasy', 'Game Night', 'Goblincore', 'Naturecore', 'Pearly', 'Ravencore', 'Witchcore']"
Drain,"['Alternative', 'Cybercore', 'Grunge', 'Hip-Hop', 'Necrotrap', 'Trillwave', 'Urbancore', 'Animecore', 'Blingeecore', 'Dead Inside', 'Emo', 'Fairycore', 'Glitchcore', 'Krushclub', 'Mallgoth', 'Sadpeople', 'Sanriocore', 'Scene', 'Sextrance', 'Sigilkore', 'Weirdcore']"
Dreamcore,"['Dreamy', 'Frutiger Aero', 'Imaginarium', 'Kidcore', 'Liminal Space', 'Nostalgiacore', 'Retro-Futurism', 'Surrealism', 'Traumacore', 'Vaporwave', 'Weirdcore', 'Xpiritualism']"
Dream Punk,"['Psychedelica', 'Raver']"
Dreamy,"['After Hours', 'Angelcore', 'Artcore', 'Comfy/Cozy', 'Cuddle Party', 'Dazecore', 'Dethereal', 'Dreamcore', 'Ethereal', 'Glowwave', 'Holosexual', 'Liminal Space', 'Lo-Fi', 'Mizuiro', 'Nostalgiacore', 'Poolcore', 'Rainbowcore', 'Shoegaze', 'Spacecore', 'Surrealism', 'Synthwave', 'Traumacore', 'Vaporwave', 'Weirdcore', 'Yume Kawaii']"
Dresiarz,"['Ah Beng', 'Bombardier', 'Cani', 'Chav', 'Choni', 'Disco', 'Disco Polo', 'Dizela%C5%A1i', 'Gabber', 'Gopnik', 'Racaille', 'Shanzhai', 'Skinheads', 'Wixa']"
Driftcore,['Memphis Rap']
Drugcore,"['Dreamy', 'Party Animal', 'Grunge', 'Heroin Chic', 'Jirai Kei', 'Kinderwhore', 'Medicalcore', 'Psychedelica', 'Raver', 'Sadpeople', 'Stripcore', 'Trashcore', 'Traumacore', 'Vaporwave', 'Weirdcore', 'Yami Kawaii', 'Waif']"
Dual Kawaii,"['Gothcore', 'Cutecore', 'Happycore', 'Kawaii', 'Kuromicore', 'Larme Kei', 'Pastel Goth', 'Traumacore', 'Yume Kawaii', 'Yami Kawaii', 'Angelcore']"
Dullcore,"['After Hours', 'Dark Academia', 'Dark Paradise', 'Dazecore', 'Gloomcore', 'Lo-Fi', 'Rainy Day', 'Sizz', 'Soft Macabre', 'Zombie Apocalypse']"
Dungeoncore,"['Liminal Space', 'Nostalgiacore', 'Fantasy']"
